Altium Designer Pick and Place Locations
D:\Courses\Altium_PCB_Course\28Pins\DesignFiles\V1I1\Project Outputs for 28Pins_Project_V1I1\Pick Place\Pick Place for 28Pins_Project_V1I1_PCB(FIXED 5V).txt

========================================================================================================================
File Design Information:

Date:       29-07-21
Time:       18:26
Revision:   Not in VersionControl
Variant:    FIXED 5V
Units used: mm

Designator  Footprint                 Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm)   Pad-Y(mm)   Rotation Comment                     
R21         R_0805                    27.5000mm    5.8000mm     27.5000mm 5.8000mm  27.5000mm   6.7500mm    270      10k                         
R20         R_0805                    66.9000mm    23.4000mm    66.9000mm 23.4000mm 66.9000mm   24.3500mm   270      10k                         
R19         R_0805                    2.9000mm     28.1000mm    2.9000mm  28.1000mm 2.9000mm    27.1500mm   90       10k                         
R18         R_0805                    66.9000mm    19.6500mm    66.9000mm 19.6500mm 66.9000mm   18.7000mm   90       10k                         
R14         R_0805                    61.7000mm    22.7000mm    61.7000mm 22.7000mm 60.7500mm   22.7000mm   360      10k                         
R4          R_0805                    9.0000mm     27.3000mm    9.0000mm  27.3000mm 9.0000mm    28.2500mm   270      10k                         
Z2          R0603                     7.2000mm     19.0000mm    7.2000mm  19.0000mm 7.2000mm    18.2500mm   90       CG0603MLC-05E               
Z1          R0603                     7.2000mm     21.9000mm    7.2000mm  21.9000mm 7.2000mm    22.6500mm   270      CG0603MLC-05E               
Y2          ABM7_V1_1_Big             24.9000mm    29.3000mm    24.9000mm 29.3000mm 24.9000mm   26.8500mm   90       ABM7-16.000MHZ-D2Y-T        
Y1          ABM7_V1_1_Big             43.7000mm    29.0000mm    43.7000mm 29.0000mm 46.1500mm   29.0000mm   180      ABM7-16.000MHZ-D2Y-T        
U7          DBV_SOT_23_5              22.4500mm    15.0500mm    22.4500mm 15.0500mm 21.1000mm   16.0000mm   360      SN74AHC1G09DBVR             
U6          DBV_SOT_23_5              66.2000mm    15.4000mm    66.2000mm 15.4000mm 67.1500mm   16.7500mm   270      SN74AHC1G09DBVR             
U5          DBV_SOT_23_5              6.0000mm     26.4000mm    6.0000mm  26.4000mm 5.0500mm    25.0500mm   90       SN74AHC1G09DBVR             
U4          DBV_SOT_23_5              18.4000mm    43.6000mm    18.4000mm 43.6000mm 17.0500mm   44.5500mm   360      SN74AHC1G09DBVR             
U3          DCQ_(R-PDSO-G6)           16.2000mm    14.7000mm    16.2000mm 14.7000mm 13.6600mm   11.6000mm   90       TL1963A-33DCQR              
U2          TQFP32                    15.4000mm    30.0000mm    15.4000mm 30.0000mm 19.6000mm   27.2000mm   180      ATMEGA16U2-AU               
U1          28_DIP_7.62MM             45.5550mm    16.3830mm    62.0650mm 20.1930mm 62.0650mm   20.1930mm   270      ATMEGA328P-PU               
SW2         SPST                      22.4000mm    5.2250mm     22.4000mm 5.2250mm  24.6500mm   8.4750mm    0        SPST                        
SW1         SPST                      63.0500mm    28.5500mm    63.0500mm 28.5500mm 66.3000mm   26.3000mm   270      SPST                        
SCKT_FOR_U1 28_DIP_7.62MM_SOCKET      -454.0250mm  -454.0250mm  62.0650mm 20.1930mm -454.0250mm -454.0250mm 270      "28-DIP Socket"             
R27         R_0805                    33.3000mm    7.6000mm     33.3000mm 7.6000mm  33.3000mm   8.5500mm    270      0R                          
R25         R_0805                    28.1000mm    8.8000mm     28.1000mm 8.8000mm  29.0500mm   8.8000mm    180      22R                         
R24         R_0805                    64.8000mm    23.4000mm    64.8000mm 23.4000mm 64.8000mm   24.3500mm   270      22R                         
R23         R_0805                    2.2000mm     25.3000mm    2.2000mm  25.3000mm 1.2500mm    25.3000mm   0        22R                         
R22         R_0805                    25.4000mm    15.2000mm    25.4000mm 15.2000mm 25.4000mm   14.2500mm   90       560E                        
R17         R_0805                    59.1250mm    35.9250mm    59.1250mm 35.9250mm 60.0750mm   35.9250mm   180      560E                        
R16         R_0805                    41.8000mm    23.4000mm    41.8000mm 23.4000mm 42.7500mm   23.4000mm   180      1M                          
R15         R_0805                    24.8000mm    44.3000mm    24.8000mm 44.3000mm 25.7500mm   44.3000mm   180      560E                        
R13         R_0805                    38.2000mm    10.0000mm    38.2000mm 10.0000mm 39.1500mm   10.0000mm   180      22R                         
R12         R_0805                    63.6000mm    42.2000mm    63.6000mm 42.2000mm 63.6000mm   41.2500mm   90       1k                          
R11         R_0805                    58.1000mm    46.4000mm    58.1000mm 46.4000mm 58.1000mm   45.4500mm   90       1k                          
R10         R_0805                    60.8000mm    46.4000mm    60.8000mm 46.4000mm 60.8000mm   45.4500mm   90       1k                          
R9          R_0805                    21.8000mm    27.4000mm    21.8000mm 27.4000mm 21.8000mm   26.4500mm   90       1M                          
R8          R_0805                    9.8000mm     17.2000mm    9.8000mm  17.2000mm 8.8500mm    17.2000mm   0        0R                          
R7          R_0805                    9.8000mm     19.4000mm    9.8000mm  19.4000mm 8.8500mm    19.4000mm   0        22R                         
R6          R_0805                    9.8000mm     21.6000mm    9.8000mm  21.6000mm 8.8500mm    21.6000mm   0        22R                         
R5          R_0805                    9.0000mm     35.0000mm    9.0000mm  35.0000mm 9.9500mm    35.0000mm   180      22R                         
R3          R_0805                    28.7750mm    41.9000mm    28.7750mm 41.9000mm 27.8250mm   41.9000mm   0        560E                        
R2          R_0805                    28.7750mm    44.2000mm    28.7750mm 44.2000mm 27.8250mm   44.2000mm   0        560E                        
R1          R_0805                    17.4000mm    39.8000mm    17.4000mm 39.8000mm 17.4000mm   38.8500mm   90       100k                        
L1          C1210_IND                 2.2000mm     7.6000mm     2.2000mm  7.6000mm  2.2000mm    9.2000mm    270      "2u2 / 2A"                  
JP3         Hdr_1x4_2.54mm            14.6000mm    40.7900mm    14.6000mm 44.6000mm 14.6000mm   44.6000mm   0        "HDR 1x4"                   
JP1         HDR_1x3_2.54mm            66.2000mm    44.3600mm    66.2000mm 46.9000mm 66.2000mm   46.9000mm   0        "HDR 1x3"                   
J7          10118193                  3.5370mm     20.1000mm    3.5370mm  20.1000mm 4.8745mm    21.4000mm   270      10118193-0001LF             
J6          HDR_2x3_2.54MM            5.0800mm     39.8780mm    2.5400mm  38.6080mm 2.5400mm    38.6080mm   90       "HDR 2x3"                   
J5          HDR_2x3_2.54MM            5.0800mm     48.5140mm    2.5400mm  47.2440mm 2.5400mm    47.2440mm   90       "HDR 2x3"                   
J4          Header_Female_1x10_2.54mm 30.2260mm    50.8000mm    41.6560mm 50.8000mm 41.6560mm   50.8000mm   270      "Header Female 1x10 2.54mm" 
J3          Header_Female_1x8_2.54mm  54.6100mm    50.8000mm    63.5000mm 50.8000mm 63.5000mm   50.8000mm   270      "Header Female 1x8 2.54mm"  
J2          Header_Female_1x6_2.54mm  57.1500mm    2.5400mm     50.8000mm 2.5400mm  50.8000mm   2.5400mm    90       "Header Female 1x6 2.54mm"  
J1          Header_Female_1x8_2.54mm  36.8300mm    2.5400mm     27.9400mm 2.5400mm  27.9400mm   2.5400mm    90       "Header Female 1x8 2.54mm"  
FB3         C0805                     44.8000mm    6.8000mm     44.8000mm 6.8000mm  44.8000mm   5.8500mm    90       MPZ2012S601AT000            
FB2         C0805                     47.8000mm    5.3000mm     47.8000mm 5.3000mm  46.8500mm   5.3000mm    360      MPZ2012S601AT000            
FB1         C0805                     19.9000mm    19.0000mm    19.9000mm 19.0000mm 19.9000mm   18.0500mm   90       MPZ2012S601AT000            
D6          SOD323                    61.6000mm    24.4000mm    61.6000mm 24.4000mm 60.3808mm   24.4000mm   360      BAT54HT1G                   
D5          SOD323                    1.0000mm     28.2000mm    1.0000mm  28.2000mm 1.0000mm    29.4192mm   270      BAT54HT1G                   
D4          LED_0603                  24.9000mm    38.2000mm    24.9000mm 38.2000mm 24.1000mm   38.2000mm   360      LED_Orange                  
D3          LED_0603                  24.9000mm    40.1000mm    24.9000mm 40.1000mm 24.1000mm   40.1000mm   360      LED_Orange                  
D2          LED_0603                  24.9000mm    42.5000mm    24.9000mm 42.5000mm 24.1000mm   42.5000mm   360      LED_Orange                  
D1          LED_0603                  59.2250mm    37.9250mm    59.2250mm 37.9250mm 58.4250mm   37.9250mm   360      "LED Green"                 
C34         C0805                     59.1250mm    33.5250mm    59.1250mm 33.5250mm 60.0750mm   33.5250mm   180      10uF/16V                    
C33         C0805                     23.3000mm    11.2000mm    23.3000mm 11.2000mm 23.3000mm   12.1500mm   270      100n                        
C32         C0805                     64.8000mm    19.6000mm    64.8000mm 19.6000mm 64.8000mm   18.6500mm   90       100n                        
C31         C0805                     9.9000mm     23.9000mm    9.9000mm  23.9000mm 10.8500mm   23.9000mm   180      100n                        
C30         C0805                     5.8000mm     29.3000mm    5.8000mm  29.3000mm 6.7500mm    29.3000mm   180      100n                        
C29         C0805                     22.2000mm    19.0000mm    22.2000mm 19.0000mm 22.2000mm   19.9500mm   270      100n                        
C28         C0805                     66.4000mm    12.3000mm    66.4000mm 12.3000mm 67.3500mm   12.3000mm   180      100n                        
C27         C0805                     45.7000mm    25.8000mm    45.7000mm 25.8000mm 46.6500mm   25.8000mm   180      18pF                        
C26         C0805                     21.8000mm    43.5000mm    21.8000mm 43.5000mm 21.8000mm   42.5500mm   90       100n                        
C25         C0805                     41.7000mm    25.8000mm    41.7000mm 25.8000mm 40.7500mm   25.8000mm   360      18pF                        
C24         C0805                     45.5000mm    9.9000mm     45.5000mm 9.9000mm  46.4500mm   9.9000mm    180      100n                        
